School,Gender,Address,Family_Size,Parental_Status,School_Support,Family_Support,Extra_Paid_Class,Extra_Curricular_Activities,Attended_Nursery,Wants_Higher_Education,Internet_Access,In_Relationship,Mother_Job,Father_Job,Reason_for_Choosing_School,Guardian,Age,Study_Time,Failures,Absences,G1,G2,G3,Dropped_Out
GP,F,R,LE3,A,yes,yes,no,yes,no,yes,yes,yes,health,services,reputation,father,19,3,2,84,7,8,5,1
MS,F,R,GT3,A,no,no,yes,yes,no,no,no,yes,other,other,home,other,20,1,0,57,10,11,8,1
GP,F,R,LE3,T,no,no,no,no,no,no,no,yes,services,health,other,mother,21,3,0,60,7,4,3,1
GP,M,R,GT3,T,no,yes,yes,no,yes,yes,no,yes,health,teacher,home,mother,15,4,3,39,8,5,4,1
GP,F,R,LE3,T,no,no,no,no,no,no,no,yes,teacher,teacher,reputation,mother,20,3,2,95,13,15,12,1
MS,M,R,LE3,T,no,yes,no,no,no,yes,yes,yes,services,other,course,father,17,3,3,16,9,8,8,1
GP,M,U,LE3,T,yes,yes,yes,no,no,yes,yes,yes,other,other,reputation,father,21,4,2,97,14,13,12,1
GP,F,U,LE3,A,yes,yes,no,no,no,no,no,no,other,other,home,other,21,4,1,80,9,6,8,1
GP,F,R,GT3,T,no,no,yes,yes,no,no,no,yes,at_home,other,home,mother,18,4,0,14,13,14,16,0
MS,M,R,GT3,A,yes,no,yes,no,no,no,no,no,teacher,at_home,reputation,mother,16,4,2,83,6,6,8,1
GP,M,R,LE3,T,yes,no,no,no,no,yes,no,no,health,services,reputation,other,21,3,3,10,11,11,8,1
GP,F,R,GT3,T,yes,no,no,no,no,yes,no,no,at_home,at_home,reputation,mother,16,2,2,82,11,11,14,1
GP,F,U,LE3,T,yes,no,no,yes,no,yes,no,yes,other,health,reputation,mother,15,2,2,95,10,11,10,1
GP,F,U,LE3,A,no,no,yes,no,yes,yes,yes,yes,health,teacher,other,other,17,4,1,87,18,16,13,1
MS,M,R,GT3,A,no,yes,no,no,yes,yes,no,yes,other,teacher,course,other,15,3,3,69,8,6,7,1
GP,M,U,LE3,A,no,yes,no,no,yes,no,no,yes,other,health,home,father,17,3,0,81,11,12,11,1
MS,M,U,LE3,T,yes,yes,yes,yes,no,no,yes,no,teacher,teacher,other,father,17,3,2,47,17,20,17,0
